timestamp,eye_ar,head_direction,observation_complete
1770830949.5424893,0.282,FORWARD,1
1770830949.5834177,0.276,FORWARD,1
1770830949.6329103,0.266,FORWARD,1
1770830949.6748936,0.266,FORWARD,1
1770830949.7216737,0.275,FORWARD,1
1770830949.7686024,0.282,FORWARD,1
1770830949.8132453,0.266,FORWARD,1
1770830949.8578455,0.271,FORWARD,1
1770830949.9004643,0.287,FORWARD,1
1770830949.9452536,0.288,FORWARD,1
1770830949.9928715,0.299,FORWARD,1
1770830950.0363474,0.275,FORWARD,1
1770830950.0768514,0.262,FORWARD,1
1770830950.1221397,0.277,FORWARD,1
1770830950.1666079,0.266,FORWARD,1
1770830950.2141404,0.277,FORWARD,1
1770830950.255472,0.302,FORWARD,1
1770830950.301005,0.269,FORWARD,1
1770830950.3453403,0.285,FORWARD,1
1770830950.3931136,0.287,FORWARD,1
1770830950.4370923,0.281,FORWARD,1
1770830950.4804816,0.324,FORWARD,1
1770830950.52458,0.366,FORWARD,1
1770830950.5714664,0.326,FORWARD,1
1770830950.6176202,0.257,FORWARD,1
1770830950.659662,0.369,FORWARD,1
1770830950.7045667,0.328,FORWARD,1
1770830950.7484124,0.399,FORWARD,1
1770830950.7922487,0.358,FORWARD,1
1770830950.8368328,0.166,FORWARD,1
1770830950.8795025,0.124,FORWARD,1
1770830950.9239447,0.199,FORWARD,1
1770830950.9709814,0.24,FORWARD,1
1770830951.0186489,0.279,FORWARD,1
1770830951.062168,0.269,LEFT,1
1770830951.1086075,0.295,LEFT,1
1770830951.1506703,0.248,LEFT,1
1770830951.1972516,0.313,LEFT,1
1770830951.234812,0.0,LEFT,1
1770830951.2822866,0.0,LEFT,1
1770830951.3281221,0.0,LEFT,1
1770830951.372569,0.0,LEFT,1
1770830951.4220002,0.0,LEFT,1
1770830951.4668636,0.0,LEFT,1
1770830951.5121515,0.0,LEFT,1
1770830951.554367,0.0,LEFT,1
1770830951.5981588,0.0,LEFT,1
